Video URL,Logo Detected,Detection Details
https://www.youtube.com/watch?v=JkWZG-A9o9o,False,"[('First', ('likee4', 'ORB', 77.77777777777779)), ('Middle', ('tiktok1', 'ORB', 80.0)), ('Last', ('likee4', 'ORB', 68.25396825396825))]"
https://www.youtube.com/watch?v=RMABl-9C6Ac,True,"[('First', ('tiktok1', 'ORB', 80.0)), ('Middle', ('tiktok1', 'ORB', 70.0)), ('Last', ('tiktok1', 'ORB', 80.0))]"
https://www.youtube.com/watch?v=AbVCE-3Onwo,False,"[('First', None), ('Middle', None), ('Last', ('likee4', 'ORB', 71.42857142857143))]"
https://www.youtube.com/watch?v=EPdyn-jUXyk,False,"[('First', ('likee4', 'ORB', 77.77777777777779)), ('Middle', ('likee13', 'ORB', 85.18518518518519)), ('Last', ('likee4', 'ORB', 71.42857142857143))]"
https://www.youtube.com/watch?v=FakAQ-pIH2Y,False,"[('First', ('likee9', 'Template', 75.16517043113708)), ('Middle', ('likee13', 'ORB', 77.77777777777779)), ('Last', ('likee9', 'Template', 76.5964686870575))]"
https://www.youtube.com/watch?v=JoOTg-NtOos,False,"[('First', ('likee4', 'ORB', 79.36507936507937)), ('Middle', ('likee4', 'ORB', 55.55555555555556)), ('Last', ('likee13', 'ORB', 62.96296296296296))]"
https://www.youtube.com/watch?v=kdpoe-idSYQ,False,"[('First', ('likee13', 'ORB', 70.37037037037037)), ('Middle', ('likee4', 'ORB', 76.19047619047619)), ('Last', ('likee4', 'ORB', 82.53968253968253))]"
https://www.youtube.com/watch?v=Kdzyz-1mizI,False,"[('First', ('likee4', 'ORB', 71.42857142857143)), ('Middle', ('likee4', 'ORB', 77.77777777777779)), ('Last', ('tiktok1', 'ORB', 80.0))]"
https://www.youtube.com/watch?v=MgEDj-P4mAY,True,"[('First', ('likee4', 'ORB', 74.60317460317461)), ('Middle', ('likee4', 'ORB', 74.60317460317461)), ('Last', ('likee4', 'ORB', 71.42857142857143))]"
https://www.youtube.com/watch?v=NYOSS-7_1CE,False,"[('First', ('likee10', 'ORB', 72.72727272727273)), ('Middle', ('tiktok1', 'ORB', 70.0)), ('Last', ('tiktok1', 'ORB', 70.0))]"
https://www.youtube.com/watch?v=OcVTB-acXZ4,False,"[('First', ('likee4', 'ORB', 77.77777777777779)), ('Middle', ('tiktok1', 'ORB', 70.0)), ('Last', ('tiktok1', 'ORB', 80.0))]"
https://www.youtube.com/watch?v=ofeQg-1Sxgo,False,"[('First', ('likee4', 'ORB', 84.12698412698413)), ('Middle', ('tiktok1', 'ORB', 80.0)), ('Last', ('likee4', 'ORB', 73.01587301587301))]"
https://www.youtube.com/watch?v=PsRlO-V-ntU,False,"[('First', ('tiktok11', 'ORB', 60.0)), ('Middle', ('likee13', 'ORB', 55.55555555555556)), ('Last', ('likee13', 'ORB', 55.55555555555556))]"
https://www.youtube.com/watch?v=QutMq-etQxU,False,"[('First', ('likee13', 'ORB', 70.37037037037037)), ('Middle', ('tiktok1', 'ORB', 80.0)), ('Last', ('likee9', 'ORB', 71.875))]"
https://www.youtube.com/watch?v=RGVIt-dRksM,False,"[('First', ('tiktok1', 'ORB', 90.0)), ('Middle', ('likee4', 'ORB', 71.42857142857143)), ('Last', ('tiktok11', 'ORB', 60.0))]"
https://www.youtube.com/watch?v=BgvhH-tp05s,False,"[('First', ('tiktok1', 'ORB', 80.0)), ('Middle', ('likee10', 'ORB', 77.27272727272727)), ('Last', ('likee4', 'ORB', 79.36507936507937))]"
https://www.youtube.com/watch?v=CNibK-7Y4I4,False,"[('First', ('likee13', 'ORB', 77.77777777777779)), ('Middle', ('likee4', 'ORB', 80.95238095238095)), ('Last', ('likee4', 'ORB', 80.95238095238095))]"
https://www.youtube.com/watch?v=DLvnz-9F2C4,False,"[('First', ('tiktok11', 'ORB', 80.0)), ('Middle', ('likee4', 'ORB', 74.60317460317461)), ('Last', ('tiktok1', 'ORB', 70.0))]"
https://www.youtube.com/watch?v=GXUMa-UDZOc,False,"[('First', ('tiktok1', 'ORB', 50.0)), ('Middle', ('tiktok1', 'ORB', 80.0)), ('Last', ('likee4', 'ORB', 68.25396825396825))]"
https://www.youtube.com/watch?v=gYniZ-QNa0Y,True,"[('First', ('tiktok1', 'ORB', 90.0)), ('Middle', ('tiktok1', 'ORB', 80.0)), ('Last', ('tiktok1', 'ORB', 60.0))]"
https://www.youtube.com/watch?v=HXWye-xdvvE,False,"[('First', ('tiktok1', 'ORB', 60.0)), ('Middle', ('tiktok1', 'ORB', 80.0)), ('Last', ('likee4', 'ORB', 71.42857142857143))]"
https://www.youtube.com/watch?v=iKVZW-MFtpQ,True,"[('First', ('tiktok1', 'ORB', 80.0)), ('Middle', ('tiktok1', 'ORB', 80.0)), ('Last', ('tiktok1', 'ORB', 80.0))]"
https://www.youtube.com/watch?v=iZsVY-Hjcd0,True,"[('First', ('tiktok1', 'ORB', 80.0)), ('Middle', ('tiktok1', 'ORB', 90.0)), ('Last', ('tiktok1', 'ORB', 90.0))]"
https://www.youtube.com/watch?v=KcDPo-IPj8o,False,"[('First', ('likee10', 'ORB', 63.63636363636363)), ('Middle', ('likee4', 'ORB', 76.19047619047619)), ('Last', ('tiktok1', 'ORB', 70.0))]"
https://www.youtube.com/watch?v=LgXay-nOk_0,False,"[('First', ('tiktok1', 'ORB', 80.0)), ('Middle', ('tiktok1', 'ORB', 80.0)), ('Last', ('likee4', 'ORB', 66.66666666666666))]"
https://www.youtube.com/watch?v=lYHAm-hPorQ,False,"[('First', ('likee13', 'ORB', 40.74074074074074)), ('Middle', ('likee13', 'ORB', 66.66666666666666)), ('Last', ('tiktok1', 'ORB', 80.0))]"
https://www.youtube.com/watch?v=OFlka-CEW9Y,True,"[('First', ('likee4', 'ORB', 71.42857142857143)), ('Middle', ('likee4', 'ORB', 76.19047619047619)), ('Last', ('likee4', 'ORB', 71.42857142857143))]"
https://www.youtube.com/watch?v=tkLLP-lalzk,False,"[('First', ('tiktok1', 'ORB', 80.0)), ('Middle', ('tiktok1', 'ORB', 90.0)), ('Last', ('likee4', 'ORB', 63.49206349206349))]"
https://www.youtube.com/watch?v=ttiVD--yZrI,False,"[('First', ('tiktok1', 'ORB', 80.0)), ('Middle', ('likee13', 'ORB', 66.66666666666666)), ('Last', ('tiktok1', 'ORB', 80.0))]"
https://www.youtube.com/watch?v=wFsFa-ReU4c,False,"[('First', ('likee13', 'ORB', 77.77777777777779)), ('Middle', ('likee4', 'ORB', 74.60317460317461)), ('Last', ('likee4', 'ORB', 69.84126984126983))]"
